run	randomSeed	numHumans	numZombies	numHunters	gestationPeriod
1371	-1535788836	10	10	1	50
1373	-1535787852	10	10	5	10
1375	-1535787602	10	10	10	5
1377	-1535787164	10	10	10	50
1379	-1535787055	10	15	1	10
1381	-1535786523	10	15	5	5
1383	-1535786430	10	15	5	50
1385	-1535781461	10	15	10	10
1387	-1535780539	10	20	1	5
1389	-1535780492	10	20	1	50
1391	-1535780320	10	20	5	10
1393	-1535779476	10	20	10	5
1395	-1535779429	10	20	10	50
1397	-1535777461	50	1	1	10
1399	-1535775539	50	1	5	5
1401	-1535775164	50	1	5	50
1403	-1535775117	50	1	10	10
1405	-1535771773	50	5	1	5
1407	-1535769445	50	5	1	50
1409	-1535769241	50	5	5	10
1411	-1535769179	50	5	10	5
1413	-1535769007	50	5	10	50
1415	-1535768804	50	10	1	10
1417	-1535763069	50	10	5	5
1419	-1535762616	50	10	5	50
1421	-1535760913	50	10	10	10
1423	-1535760835	50	15	1	5
1425	-1535760741	50	15	1	50
1427	-1535760663	50	15	5	10
1429	-1535760600	50	15	10	5
1431	-1535759585	50	15	10	50
1433	-1535758991	50	20	1	10
1435	-1535758913	50	20	5	5
1437	-1535752037	50	20	5	50
1439	-1535750147	50	20	10	10
1441	-1535750084	100	1	1	5
1443	-1535749990	100	1	1	50
1445	-1535749944	100	1	5	10
1447	-1535739646	100	1	10	5
1449	-1535735255	100	1	10	50
1451	-1535733662	100	5	1	10
1453	-1535732271	100	5	5	5
1455	-1535732162	100	5	5	50
1457	-1535731990	100	5	10	10
1459	-1535731849	100	10	1	5
1461	-1535731677	100	10	1	50
1463	-1535727411	100	10	5	10
1465	-1535724052	100	10	10	5
1467	-1535723974	100	10	10	50
1469	-1535721177	100	15	1	10
1471	-1535720942	100	15	5	5
1473	-1535720770	100	15	5	50
1475	-1535716739	100	15	10	10
1477	-1535716630	100	20	1	5
1479	-1535714129	100	20	1	50
1481	-1535698113	100	20	5	10
1483	-1535690378	100	20	10	5
1485	-1535689753	100	20	10	50
1487	-1535670315	10	1	1	10
1489	-1535668283	10	1	5	5
1491	-1535668221	10	1	5	50
1493	-1535668127	10	1	10	10
1495	-1535667283	10	5	1	5
1497	-1535666361	10	5	1	50
1499	-1535664502	10	5	5	10
1501	-1535656486	10	5	10	5
1503	-1535653720	10	5	10	50
1505	-1535653627	10	10	1	10
1507	-1535651548	10	10	5	5
1509	-1535643486	10	10	5	50
1511	-1535641111	10	10	10	10
1513	-1535640861	10	15	1	5
1515	-1535640751	10	15	1	50
1517	-1535637314	10	15	5	10
1519	-1535636736	10	15	10	5
1521	-1535636611	10	15	10	50
1523	-1535636486	10	20	1	10
1525	-1535636408	10	20	5	5
1527	-1535636345	10	20	5	50
1529	-1535632579	10	20	10	10
1531	-1535632486	50	1	1	5
1533	-1535608766	50	1	1	50
1535	-1535608423	50	1	5	10
1537	-1535608344	50	1	10	5
1539	-1535608157	50	1	10	50
1541	-1535601344	50	5	1	10
1543	-1535595297	50	5	5	5
1545	-1535593250	50	5	5	50
1547	-1535593204	50	5	10	10
1549	-1535593110	50	10	1	5
1551	-1535591907	50	10	1	50
1553	-1535591844	50	10	5	10
1555	-1535564000	50	10	10	5
1557	-1535563875	50	10	10	50
1559	-1535563844	50	15	1	10
1561	-1535560937	50	15	5	5
1563	-1535560469	50	15	5	50
1565	-1535557250	50	15	10	10
1567	-1535556609	50	20	1	5
1569	-1535556531	50	20	1	50
1571	-1535556422	50	20	5	10
1573	-1535556172	50	20	10	5
1575	-1535552593	50	20	10	50
1577	-1535551125	100	1	1	10
1579	-1535550390	100	1	5	5
1581	-1535497233	100	1	5	50
1583	-1535497123	100	1	10	10
1585	-1535493373	100	5	1	5
1587	-1535493311	100	5	1	50
1589	-1535487436	100	5	5	10
1591	-1535486608	100	5	10	5
1593	-1535481795	100	5	10	50
1595	-1535481576	100	10	1	10
1597	-1535480170	100	10	5	5
1599	-1535479717	100	10	5	50
1601	-1535476514	100	10	10	10
1603	-1535471779	100	15	1	5
1605	-1535466326	100	15	1	50
1607	-1535461982	100	15	5	10
1609	-1535461904	100	15	10	5
1611	-1535461654	100	15	10	50
1613	-1535457795	100	20	1	10
1615	-1535454748	100	20	5	5
1617	-1535450794	100	20	5	50
1619	-1535449169	100	20	10	10
1621	-1535407997	10	1	1	5
1623	-1535407637	10	1	1	50
1625	-1535404778	10	1	5	10
1627	-1535404622	10	1	10	5
1629	-1535404450	10	1	10	50
1631	-1535403809	10	5	1	10
1633	-1535403715	10	5	5	5
1635	-1535403653	10	5	5	50
1637	-1535403590	10	5	10	10
1639	-1535399325	10	10	1	5
1641	-1535399246	10	10	1	50
1643	-1535399200	10	10	5	10
1645	-1535395871	10	10	10	5
1647	-1535395700	10	10	10	50
1649	-1535395637	10	15	1	10
1651	-1535393387	10	15	5	5
1653	-1535393293	10	15	5	50
1655	-1535393200	10	15	10	10
1657	-1535391168	10	20	1	5
1659	-1535391028	10	20	1	50
1661	-1535387965	10	20	5	10
1663	-1535387809	10	20	10	5
1665	-1535381887	10	20	10	50
1667	-1535379762	50	1	1	10
1669	-1535379012	50	1	5	5
1671	-1535378918	50	1	5	50
1673	-1535378855	50	1	10	10
1675	-1535378793	50	5	1	5
1677	-1535378699	50	5	1	50
1679	-1535376699	50	5	5	10
1681	-1535376652	50	5	10	5
1683	-1535376543	50	5	10	50
1685	-1535374668	50	10	1	10
